1,2,3,4,5,6,7,8,9,result
b,b,o,o,x,o,x,x,x,Xganha
b,b,o,x,o,o,x,x,b,Temjogo
b,x,x,x,o,o,o,x,o,Temjogo
x,b,x,o,b,o,b,x,o,Temjogo
x,o,b,x,b,x,b,b,o,Temjogo
b,b,o,b,o,x,b,x,b,Temjogo
b,x,x,b,o,o,o,x,b,Temjogo
x,b,o,b,b,o,b,x,b,Temjogo
b,b,x,o,b,o,x,b,b,Temjogo
b,x,b,o,o,b,x,b,b,Temjogo
o,x,b,b,x,o,x,b,b,Temjogo
x,x,o,o,x,b,o,o,x,Xganha
x,x,o,o,o,x,x,o,b,Temjogo
o,b,b,x,b,o,x,o,x,Temjogo
x,b,x,o,o,b,x,x,o,Temjogo
b,o,x,b,o,x,o,b,x,Xganha
x,x,x,o,o,b,o,x,o,Xganha
o,x,x,b,x,x,o,b,o,Temjogo
b,x,x,o,b,b,b,b,o,Temjogo
x,o,b,b,x,x,b,b,o,Temjogo
x,o,o,x,o,b,b,x,b,Temjogo
o,x,x,b,x,o,b,b,o,Temjogo
x,b,o,o,x,b,b,x,b,Temjogo
x,b,o,b,x,o,o,x,b,Temjogo
b,x,o,o,x,o,x,x,o,Xganha
o,b,o,x,b,b,o,x,x,Temjogo
b,b,x,x,b,b,o,b,o,Temjogo
o,x,o,x,x,o,x,x,o,Xganha
x,o,x,x,x,o,x,o,o,Xganha
x,b,x,x,b,b,o,o,o,Oganha
x,x,o,b,b,o,b,b,x,Temjogo
o,b,b,o,x,b,o,x,x,Oganha
b,x,b,x,b,o,o,b,b,Temjogo
b,o,o,b,x,x,b,b,b,Temjogo
o,x,b,b,b,b,x,b,o,Temjogo
b,b,b,x,b,o,b,x,o,Temjogo
o,x,b,x,x,x,o,b,o,Xganha
x,x,o,o,x,b,x,o,b,Temjogo
b,o,x,x,o,o,b,x,x,Temjogo
o,b,o,b,x,b,b,x,x,Temjogo
o,x,x,b,o,b,o,b,x,Temjogo
b,b,b,b,x,o,x,b,o,Temjogo
o,b,x,x,x,o,o,x,b,Temjogo
x,b,o,o,b,x,o,x,b,Temjogo
x,b,o,x,x,x,o,b,o,Xganha
o,b,x,b,b,o,x,b,x,Temjogo
x,b,o,x,o,x,x,o,o,Xganha
o,x,b,x,o,o,b,x,b,Temjogo
o,b,b,b,b,x,o,x,b,Temjogo
o,x,o,b,o,x,x,x,b,Temjogo
b,b,b,x,x,b,o,b,o,Temjogo
x,o,x,b,b,o,o,b,x,Temjogo
x,x,o,o,x,b,b,o,x,Xganha
x,b,b,o,b,o,o,x,x,Temjogo
o,x,x,b,b,b,b,o,b,Temjogo
x,x,b,o,b,x,o,x,o,Temjogo
b,b,b,x,o,x,x,b,o,Temjogo
o,x,o,o,x,o,x,x,b,Xganha
b,b,b,o,x,o,x,b,x,Temjogo
o,x,x,x,o,x,o,o,x,Xganha
b,o,o,x,b,b,x,o,x,Temjogo
x,x,b,o,o,x,x,o,o,Temjogo
b,o,x,b,b,x,x,b,o,Temjogo
x,x,b,b,o,o,b,x,b,Temjogo
x,x,o,x,o,x,b,o,o,Temjogo
b,b,o,b,b,b,x,x,b,Temjogo
x,b,b,b,b,x,o,o,b,Temjogo
b,x,b,b,o,x,b,o,b,Temjogo
x,b,o,b,x,o,b,o,x,Xganha
o,x,o,o,x,x,o,x,x,Xganha
b,b,o,b,x,b,o,x,b,Temjogo
o,o,x,b,x,o,b,b,x,Temjogo
x,b,o,b,x,x,x,o,o,Temjogo
b,b,x,x,b,b,o,b,b,Temjogo
o,x,x,b,b,o,x,x,o,Temjogo
x,x,b,o,o,b,o,x,b,Temjogo
b,x,b,o,o,o,x,x,x,Xganha
x,x,o,o,b,x,x,o,o,Temjogo
o,b,o,x,b,b,x,o,x,Temjogo
b,x,b,x,o,b,o,b,b,Temjogo
b,o,b,b,x,x,b,o,x,Temjogo
b,x,o,o,b,x,x,x,o,Temjogo
x,o,x,o,b,b,o,x,b,Temjogo
x,x,x,o,o,o,b,b,b,Xganha
x,b,x,b,b,o,b,o,b,Temjogo
b,b,o,b,x,b,x,o,b,Temjogo
x,o,x,x,b,b,o,o,b,Temjogo
x,b,o,x,b,x,b,o,b,Temjogo
x,x,b,o,o,x,b,x,o,Temjogo
x,b,b,o,b,b,x,b,o,Temjogo
b,b,x,o,b,o,b,x,x,Temjogo
o,b,b,x,o,o,b,x,x,Temjogo
x,o,o,x,x,o,o,b,x,Xganha
b,o,x,b,o,b,b,x,b,Temjogo
x,b,x,o,b,x,b,b,o,Temjogo
x,b,x,x,o,o,x,b,o,Xganha
o,x,b,x,b,x,o,o,b,Temjogo
x,x,b,b,x,o,o,o,b,Temjogo
o,x,x,b,b,b,o,o,x,Temjogo
x,b,o,x,b,b,o,x,b,Temjogo
o,x,x,x,x,x,o,o,o,Xganha
x,x,b,o,b,o,x,x,o,Temjogo
o,x,x,b,b,o,o,x,x,Temjogo
o,b,b,b,b,x,b,x,o,Temjogo
b,o,o,b,b,b,x,b,x,Temjogo
b,x,b,o,o,x,o,x,b,Temjogo
b,x,o,b,x,o,o,x,b,Xganha
x,x,x,b,o,o,b,x,o,Xganha
x,x,b,b,b,o,b,o,x,Temjogo
x,o,o,b,o,x,x,o,x,Oganha
b,x,o,b,o,x,b,x,b,Temjogo
b,o,b,b,b,x,o,x,b,Temjogo
o,o,x,b,x,x,o,o,x,Xganha
b,x,o,x,o,o,x,x,b,Temjogo
o,b,b,b,b,x,x,o,x,Temjogo
b,b,o,b,x,b,x,b,b,Temjogo
x,o,x,b,o,b,x,o,b,Oganha
o,b,b,b,o,o,x,x,x,Xganha
x,b,b,o,b,b,x,o,x,Temjogo
o,o,b,x,x,x,o,x,o,Xganha
o,x,b,b,x,o,x,o,b,Temjogo
o,b,o,x,o,x,x,b,x,Temjogo
o,x,x,o,x,b,o,x,b,Xganha
b,o,b,o,b,x,x,x,o,Temjogo
o,b,x,x,o,x,x,o,o,Oganha
o,b,x,o,o,b,x,x,x,Xganha
b,x,o,x,o,b,b,b,b,Temjogo
x,b,b,o,b,x,o,x,o,Temjogo
b,b,o,x,b,x,b,b,o,Temjogo
x,o,x,o,o,o,x,b,x,Oganha
x,b,b,o,b,b,o,x,x,Temjogo
o,o,x,o,o,b,x,x,x,Xganha
o,x,x,o,b,b,b,x,b,Temjogo
o,o,x,o,b,b,x,b,x,Temjogo
b,o,b,x,b,b,b,x,b,Temjogo
x,b,b,o,x,b,o,b,b,Temjogo
o,b,b,b,x,x,b,o,x,Temjogo
x,b,b,o,b,x,x,b,o,Temjogo
b,x,o,o,o,x,o,x,x,Oganha
o,o,o,b,x,o,x,x,x,Xganha
b,o,x,b,x,o,b,x,o,Temjogo
o,b,x,x,o,x,x,b,o,Oganha
b,x,x,b,b,b,o,o,b,Temjogo
o,b,x,x,b,o,x,b,o,Temjogo
o,x,b,o,x,x,o,o,x,Oganha
o,o,x,x,b,b,x,o,b,Temjogo
b,b,b,o,b,x,o,b,x,Temjogo
b,o,b,x,b,o,b,x,b,Temjogo
o,x,b,o,o,b,x,b,x,Temjogo
o,x,x,o,b,o,x,o,x,Temjogo
x,x,b,o,o,x,o,b,b,Temjogo
x,b,o,b,o,b,x,x,o,Temjogo
x,x,b,o,x,b,b,o,o,Temjogo
b,b,b,o,b,x,b,b,b,Temjogo
b,x,o,b,b,b,x,o,x,Temjogo
o,b,x,b,x,o,o,x,b,Temjogo
b,o,x,o,b,x,o,x,x,Xganha
x,o,x,o,o,x,x,b,o,Temjogo
b,b,b,x,b,b,o,x,o,Temjogo
x,o,o,x,x,o,b,b,b,Temjogo
x,b,o,x,b,x,b,o,o,Temjogo
x,o,x,b,o,x,o,x,o,Temjogo
o,o,o,x,x,x,b,x,b,Xganha
b,o,b,x,o,b,b,x,b,Temjogo
x,b,b,o,x,b,b,o,x,Xganha
b,o,o,x,x,o,x,b,b,Temjogo
b,o,o,b,o,x,x,x,x,Xganha
b,x,b,o,b,x,x,b,o,Temjogo
x,b,x,x,o,o,b,b,b,Temjogo
o,b,x,x,o,x,b,x,o,Oganha
b,x,b,x,o,x,o,o,b,Temjogo
o,x,x,x,o,o,o,b,x,Temjogo
x,x,o,x,x,o,b,b,o,Oganha
x,o,o,b,b,b,x,b,x,Temjogo
b,o,x,o,b,o,x,x,b,Temjogo
x,b,o,o,o,x,b,b,x,Temjogo
b,x,o,o,x,b,b,o,x,Temjogo
b,b,b,o,x,b,x,b,o,Temjogo
b,b,b,b,x,o,x,x,o,Temjogo
x,x,b,o,x,x,b,o,o,Temjogo
b,o,b,x,o,x,x,o,x,Oganha
b,b,x,o,x,o,b,x,o,Temjogo
b,b,x,x,b,o,o,o,x,Temjogo
o,b,x,b,b,b,x,o,x,Temjogo
x,b,b,o,o,b,x,b,b,Temjogo
x,x,o,b,o,x,o,x,b,Oganha
b,o,b,b,o,o,x,x,x,Xganha
o,b,b,x,x,b,b,o,x,Temjogo
b,x,o,x,b,b,b,o,b,Temjogo
x,b,x,x,o,x,o,b,o,Temjogo
b,o,b,o,x,b,o,x,x,Temjogo
b,b,x,x,o,o,x,b,o,Temjogo
o,x,o,x,x,o,o,x,x,Xganha
x,x,b,o,b,b,o,x,b,Temjogo
x,x,o,x,o,o,x,b,o,Xganha
x,o,o,x,o,x,x,o,x,Xganha
x,x,o,o,b,b,o,x,b,Temjogo
x,x,o,o,b,o,b,x,x,Temjogo
